Time Received,Battery Life (%),Battery Voltage (V),Battery Current (A),Solar Current (A)
0.00:0.00,56.79,20.99,40.58,-0.22
0.00:0.00,56.67,21.02,39.94,-0.23
0.00:0.00,56.56,20.94,37.79,-0.23
0.00:0.00,56.45,21.01,39.08,-0.22
0.00:0.00,56.33,20.99,39.39,-0.23
0.00:0.00,56.21,20.97,40.15,-0.22
0.00:0.00,56.09,20.94,42.11,-0.22
0.00:0.00,55.97,20.93,40.97,-0.22
0.00:0.00,55.85,20.94,42.22,-0.22
0.00:0.00,55.73,21.03,40.99,-0.22
0.00:0.00,55.61,21.07,39.24,-0.22
0.00:0.00,55.50,21.03,38.79,-0.22
0.00:0.00,55.38,20.99,38.70,-0.22
0.00:0.00,55.27,21.00,39.08,-0.22
0.00:0.00,55.15,20.94,41.55,-0.21
0.00:0.00,55.03,20.94,39.85,-0.21
0.00:0.00,54.91,20.91,41.59,-0.20
0.00:0.00,54.79,20.94,42.56,-0.20
0.00:0.00,54.67,20.99,39.72,-0.20
0.00:0.00,54.56,21.05,37.58,-0.21
0.00:0.00,54.45,20.99,37.79,-0.21
0.00:0.00,54.33,20.85,42.00,-0.19
0.00:0.00,54.19,20.84,46.03,-0.19
0.00:0.00,54.08,20.97,39.14,-0.20
0.00:0.00,53.97,20.98,37.80,-0.20
0.00:0.00,53.85,20.93,40.66,-0.19
0.00:0.00,53.73,20.83,40.97,-0.18
0.00:0.00,53.60,20.84,42.92,-0.17
0.00:0.00,53.48,20.87,41.97,-0.17
0.00:0.00,53.37,20.97,38.69,-0.18
0.00:0.00,53.25,20.86,39.72,-0.18
0.00:0.00,53.13,20.91,41.16,-0.17
0.00:0.00,53.02,20.90,39.21,-0.17
0.00:0.00,52.90,20.89,41.04,-0.17
0.00:0.00,52.78,20.82,41.40,-0.17
0.00:0.00,52.65,20.86,41.42,-0.17
0.00:0.00,52.53,20.83,42.05,-0.16
0.00:0.00,52.41,20.81,42.88,-0.16
0.00:0.00,52.30,20.93,37.81,-0.17
0.00:0.00,52.18,20.83,39.37,-0.17
0.00:0.00,52.06,20.74,41.80,-0.17
0.00:0.00,51.93,20.71,43.58,-0.17
0.00:0.00,51.81,20.83,41.18,-0.18
0.00:0.00,51.70,20.83,39.31,-0.18
0.00:0.00,51.58,20.89,40.44,-0.18
0.00:0.00,51.46,20.81,39.40,-0.18
0.00:0.00,51.34,20.85,40.98,-0.18
0.00:0.00,51.23,20.88,37.45,-0.19
0.00:0.00,51.12,20.83,39.97,-0.18
0.00:0.00,51.00,20.84,40.91,-0.18
0.00:0.00,50.87,20.83,42.57,-0.18
0.00:0.00,50.75,20.72,40.90,-0.18
0.00:0.00,50.63,20.75,40.93,-0.18
0.00:0.00,50.51,20.66,42.80,-0.18
0.00:0.00,50.39,20.76,40.86,-0.18
0.00:0.00,50.27,20.61,41.59,-0.18
0.00:0.00,50.15,20.80,39.09,-0.19
0.00:0.00,50.05,20.91,35.66,-0.19
0.00:0.00,49.93,20.73,38.57,-0.18
0.00:0.00,49.81,20.70,42.17,-0.17
0.00:0.00,49.69,20.72,41.93,-0.18
0.00:0.00,49.58,20.80,38.21,-0.18
0.00:0.00,49.47,20.80,36.72,-0.18
0.00:0.00,49.36,20.77,38.16,-0.18
0.00:0.00,49.24,20.70,39.79,-0.17
0.00:0.00,49.12,20.72,41.05,-0.17
0.00:0.00,49.01,20.76,37.76,-0.18
0.00:0.00,48.90,20.68,38.46,-0.18
0.00:0.00,48.78,20.68,42.14,-0.18
0.00:0.00,48.66,20.65,40.95,-0.17
0.00:0.00,48.54,20.65,39.27,-0.18
0.00:0.00,48.43,20.69,38.88,-0.18
0.00:0.00,48.31,20.69,39.03,-0.18
0.00:0.00,48.20,20.68,38.06,-0.18
0.00:0.00,48.08,20.63,40.50,-0.18
0.00:0.00,47.97,20.60,39.72,-0.18
0.00:0.00,47.84,20.57,43.03,-0.18
0.00:0.00,47.72,20.55,40.88,-0.19
0.00:0.00,47.60,20.56,40.52,-0.18
0.00:0.00,47.48,20.49,42.60,-0.18
0.00:0.00,47.36,20.55,39.16,-0.19
0.00:0.00,47.26,20.63,36.88,-0.19
0.00:0.00,47.14,20.48,40.16,-0.18
0.00:0.00,47.02,20.56,40.47,-0.18
0.00:0.00,46.91,20.63,36.96,-0.19
0.00:0.00,46.81,20.66,35.60,-0.19
0.00:0.00,46.70,20.53,36.39,-0.19
0.00:0.00,46.58,20.46,40.63,-0.19
0.00:0.00,46.46,20.48,41.99,-0.18
0.00:0.00,46.35,20.55,38.68,-0.20
0.00:0.00,46.24,20.57,36.24,-0.20
0.00:0.00,46.13,20.56,38.33,-0.20
0.00:0.00,46.01,20.50,41.15,-0.19
0.00:0.00,45.89,20.48,40.09,-0.19
0.00:0.00,45.78,20.48,39.61,-0.19
